x,y
384,128
384,136
384,144
384,152
384,160
384,168
384,176
384,184
384,192
384,200
384,208
384,216
384,224
384,232
384,240
384,248
384,360
384,368
384,376
384,384
384,392
384,400
384,408
384,416
384,424
384,432
392,76
392,84
392,92
392,100
392,108
392,116
392,124
392,132
392,140
392,148
392,156
392,164
392,172
392,180
392,188
392,196
392,204
392,212
392,220
392,228
392,236
392,244
392,348
392,356
392,364
392,372
392,380
392,388
392,396
392,404
392,412
392,420
392,428
400,80
400,88
400,96
400,104
400,112
400,120
400,128
400,136
400,144
400,152
400,160
400,168
400,176
400,184
400,192
400,200
400,208
400,216
400,224
400,232
400,240
400,248
400,336
400,344
400,352
400,360
400,368
400,376
400,384
400,392
400,400
400,408
400,416
400,424
408,84
408,92
408,100
408,108
408,116
408,124
408,132
408,140
408,148
408,156
408,164
408,172
408,180
408,188
408,196
408,204
408,212
408,220
408,228
408,236
408,244
408,252
408,260
408,268
408,276
408,284
408,292
408,300
408,308
408,316
408,324
408,332
408,340
408,348
408,356
408,364
408,372
408,380
408,388
408,396
408,404
408,412
408,420
408,428
408,436
408,444
408,452
408,460
416,96
416,104
416,112
416,120
416,128
416,136
416,144
416,152
416,160
416,168
416,176
416,184
416,192
416,200
416,208
416,216
416,224
416,232
416,240
416,248
416,256
416,264
416,272
416,280
416,288
416,296
416,304
416,312
416,320
416,328
416,336
416,344
416,352
416,360
416,368
416,376
416,384
416,392
416,400
416,408
416,416
416,424
416,432
416,440
416,448
416,456
416,464
424,100
424,108
424,116
424,124
424,132
424,140
424,148
424,156
424,164
424,172
424,180
424,188
424,196
424,204
424,212
424,220
424,228
424,236
424,244
424,252
424,260
424,268
424,276
424,284
424,292
424,300
424,308
424,316
424,324
424,332
424,340
424,348
424,356
424,364
424,372
424,380
424,388
424,396
424,404
424,412
424,420
424,428
424,436
424,444
424,452
424,460
424,468
432,112
432,120
432,128
432,136
432,144
432,152
432,160
432,168
432,176
432,184
432,192
432,200
432,208
432,216
432,224
432,232
432,240
432,248
432,256
432,264
432,272
432,280
432,288
432,296
432,304
432,312
432,320
432,328
432,336
432,344
432,352
432,360
432,368
432,376
432,384
432,392
432,400
432,408
432,416
432,424
432,432
432,440
432,448
432,456
432,464
432,472
440,116
440,124
440,132
440,140
440,148
440,156
440,164
440,172
440,180
440,188
440,196
440,204
440,212
440,220
440,228
440,236
440,244
440,252
440,260
440,268
440,276
440,284
440,292
440,300
440,308
440,316
440,324
440,332
440,340
440,348
440,356
440,364
440,372
440,380
440,388
440,396
440,404
440,412
440,420
440,428
440,436
440,444
440,452
440,460
440,468
448,128
448,136
448,144
448,152
448,160
448,168
448,176
448,184
448,192
448,200
448,208
448,216
448,224
448,232
448,240
448,248
448,256
448,264
448,272
448,280
448,288
448,296
448,304
448,312
448,320
448,328
448,336
448,344
448,352
448,360
448,368
448,376
448,384
448,392
448,400
448,408
448,416
448,424
448,432
448,440
448,448
448,456
456,124
456,132
456,140
456,148
456,156
456,164
456,172
456,180
456,188
456,196
456,204
456,212
456,220
456,228
456,236
456,244
456,252
456,260
456,268
456,276
456,284
456,292
456,300
456,308
456,316
456,324
456,332
456,340
456,348
456,356
456,364
456,372
456,380
456,388
456,396
456,404
456,412
456,420
456,428
456,436
456,444
456,452
464,120
464,128
464,136
464,144
464,152
464,160
464,168
464,176
464,184
464,192
464,200
464,208
464,216
464,224
464,232
464,240
464,248
464,256
464,264
464,272
464,280
464,288
464,296
464,304
464,312
464,320
464,328
464,336
464,344
464,352
464,360
464,368
464,376
464,384
464,392
464,400
464,408
464,416
464,424
464,432
464,440
472,108
472,116
472,124
472,132
472,140
472,148
472,156
472,164
472,172
472,180
472,188
472,196
472,204
472,212
472,220
472,228
472,236
472,244
472,252
472,260
472,268
472,276
472,284
472,292
472,300
472,308
472,316
472,324
472,332
472,340
472,348
472,356
472,364
472,372
472,380
472,388
472,396
472,404
472,412
472,420
472,428
472,436
480,104
480,112
480,120
480,128
480,136
480,144
480,152
480,160
480,168
480,176
480,184
480,192
480,200
480,208
480,216
480,224
480,232
480,240
480,248
480,256
480,264
480,272
480,280
480,288
480,296
480,304
480,312
480,320
480,328
480,336
480,344
480,352
480,360
480,368
480,376
480,384
480,392
480,400
480,408
480,416
480,424
480,432
488,100
488,108
488,116
488,124
488,132
488,140
488,148
488,156
488,164
488,172
488,180
488,188
488,196
488,204
488,212
488,220
488,228
488,236
488,244
488,252
488,260
488,268
488,276
488,284
488,292
488,300
488,308
488,316
488,324
488,332
488,340
488,348
488,356
488,364
488,372
488,380
488,388
488,396
488,404
488,412
488,420
496,104
496,112
496,120
496,128
496,136
496,144
496,152
496,160
496,168
496,176
496,184
496,192
496,200
496,208
496,216
496,224
496,232
496,240
496,248
496,256
496,264
496,272
496,280
496,288
496,296
496,304
496,312
496,320
496,328
496,336
496,344
496,352
496,360
496,368
496,376
496,384
496,392
496,400
496,408
496,416
504,108
504,116
504,124
504,132
504,140
504,148
504,156
504,164
504,172
504,180
504,188
504,196
504,204
504,212
504,220
504,228
504,236
504,244
504,252
504,260
504,268
504,276
504,284
504,292
504,300
504,308
504,316
504,324
504,332
504,340
504,348
504,356
504,364
504,372
504,380
504,388
504,396
504,404
504,412
